City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
245,tingo maria,-9.2895,-76.0088,77.68,92,100,1.16,PE,1698614082
246,mount isa,-20.7333,139.5,67.77,77,97,0.0,AU,1698614011
247,hammerfest,70.6634,23.6821,25.25,80,40,2.3,NO,1698614082
248,trairi,-3.2778,-39.2689,80.1,72,33,11.16,BR,1698613965
249,korem,12.5058,39.5228,54.54,92,73,4.21,ET,1698614083
250,saudarkrokur,65.7461,-19.6394,30.52,80,26,7.23,IS,1698614083
251,bhuj,23.2667,69.6667,81.39,34,57,5.01,IN,1698614083
252,wad medani,14.4012,33.5199,80.01,62,48,10.16,SD,1698614084
253,katsuren-haebaru,26.3369,127.8719,72.37,76,0,5.75,JP,1698614084
254,dalandzadgad,43.5708,104.425,46.33,42,95,17.02,MN,1698613793
255,remire-montjoly,4.9167,-52.2667,86.04,70,0,8.05,GF,1698614084
256,afaahiti,-17.75,-149.2833,80.47,82,34,15.21,PF,1698614085
257,anloga,5.7947,0.8973,82.24,80,5,7.38,GH,1698614085
258,pembroke,45.8168,-77.1162,40.17,64,100,1.86,CA,1698614085
259,selfoss,63.9331,-20.9971,32.04,70,71,6.29,IS,1698614085
260,illizi,26.4833,8.4667,80.4,18,9,5.17,DZ,1698614086
261,orchard mesa,39.043,-108.5523,45.93,34,0,19.57,US,1698614086
262,pimentel,-6.8367,-79.9342,75.49,69,0,24.16,PE,1698613807
263,igarka,67.4667,86.5833,1.72,97,34,1.57,RU,1698614086
264,kikwit,-5.041,18.8162,74.28,86,75,0.92,CD,1698614087
265,milton,34.1322,-84.3007,83.28,53,0,3.0,US,1698613827
266,limbazi,57.5129,24.7194,33.04,98,100,9.06,LV,1698614087
267,jining,35.405,116.5814,60.93,56,70,7.96,CN,1698614087
268,fedorovskiy,45.0972,40.9517,56.5,54,18,3.09,RU,1698614087
269,port alfred,-33.5906,26.891,58.17,69,93,5.99,ZA,1698614088
270,hithadhoo,-0.6,73.0833,80.55,82,99,15.48,MV,1698614088
271,canelli,44.7215,8.2924,62.76,93,100,1.41,IT,1698614088
272,kruisfontein,-34.0033,24.7314,53.62,63,58,6.98,ZA,1698614088
273,minas de marcona,-15.2119,-75.1103,67.03,63,44,16.82,PE,1698614088
274,kodiak,57.79,-152.4072,45.91,100,100,9.22,US,1698614089
275,arraial do cabo,-22.9661,-42.0278,78.66,78,75,11.5,BR,1698614023
276,baoding,38.8511,115.4903,55.72,66,23,6.11,CN,1698614089
277,kerikeri,-35.2268,173.9474,63.91,96,100,8.01,NZ,1698614089
278,richland center,43.3347,-90.3868,39.33,61,100,9.95,US,1698614000
279,gudauta,43.1055,40.6207,66.04,75,98,3.2,GE,1698614089
280,mejit,10.2753,170.8646,82.78,81,76,21.25,MH,1698614090
281,kasongo-lunda,-6.4667,16.8167,74.25,79,71,0.87,CD,1698614090
282,santander,43.4647,-3.8044,62.46,94,20,8.99,ES,1698614090
283,kralendijk,12.15,-68.2667,89.58,66,40,9.22,BQ,1698614090
284,griffith,41.5284,-87.4237,47.05,84,100,4.61,US,1698614090
285,tual,-5.6667,132.75,81.19,81,100,8.61,ID,1698614090
286,axim,4.8699,-2.2405,79.23,84,2,5.06,GH,1698614053
287,tsiroanomandidy,-18.7667,46.0333,71.55,75,99,1.81,MG,1698614091
288,miles city,46.4083,-105.8406,27.57,74,0,9.22,US,1698613989
289,lethem,3.3803,-59.7968,88.74,48,100,6.51,GY,1698614091
290,tarfaya,27.9358,-12.9218,70.38,74,94,5.64,MA,1698614091
291,fereydun kenar,36.6864,52.5225,71.24,71,6,12.12,IR,1698614092
292,hirara,24.8,125.2833,73.67,73,99,9.22,JP,1698614092
293,poyarkovo,49.6,128.6833,37.15,60,100,3.02,RU,1698614092
294,alice town,25.7167,-79.3,79.59,76,2,21.0,BS,1698614092
295,arawa,-6.2132,155.5367,80.24,89,100,2.62,PG,1698614092
296,koulikoro,14.0,-7.75,84.87,41,95,5.73,ML,1698614093
297,trincomalee,8.5711,81.2335,80.22,78,98,3.42,LK,1698614093
298,kidal,18.4411,1.4078,85.91,10,0,8.37,ML,1698614093
299,yei,4.095,30.6779,69.33,95,93,1.72,SS,1698614093
300,guerrero negro,27.9769,-114.0611,75.54,50,0,13.38,MX,1698614093
301,al burayqah,30.4062,19.5739,74.43,70,2,12.24,LY,1698614094
302,nizhniy kuranakh,58.8353,125.4869,14.76,98,100,1.19,RU,1698614094
303,kyaikkami,16.08,97.5675,79.72,84,95,4.23,MM,1698614094
304,kailua-kona,19.6406,-155.9956,85.28,74,20,10.36,US,1698614033
305,tralee,52.2704,-9.7026,47.44,90,94,3.98,IE,1698613976
306,nieuw amsterdam,5.8833,-55.0833,82.15,77,73,15.32,SR,1698614094
307,grantsville,40.5999,-112.4644,44.74,45,0,10.0,US,1698614095
308,huanren,41.2647,125.3667,47.23,87,94,3.91,CN,1698614095
309,nar'yan-mar,67.6713,53.087,16.11,86,100,13.0,RU,1698614095
310,port shepstone,-30.7414,30.455,61.48,54,100,16.55,ZA,1698614095
311,puerto baquerizo moreno,-0.9,-89.6,81.59,69,40,18.41,EC,1698614095
312,martuk,50.7475,56.5056,43.47,77,100,22.5,KZ,1698614096
313,chilecito,-29.1619,-67.4974,90.81,5,67,41.38,AR,1698614096
314,saint-philippe,-21.3585,55.7679,76.59,87,47,10.78,RE,1698613940
315,kyabe,9.4515,18.9449,75.27,76,51,2.35,TD,1698614096
316,tazovsky,67.4667,78.7,3.22,94,13,2.86,RU,1698614097
317,christchurch,-43.5333,172.6333,59.32,72,75,18.41,NZ,1698614097
318,karratha,-20.7377,116.8463,79.68,69,99,6.67,AU,1698614097
319,bendorf,50.4333,7.5667,55.38,90,90,10.49,DE,1698614097
320,gao,16.6362,1.637,87.44,11,3,8.41,ML,1698614098
321,chul'man,56.8479,124.9104,13.48,94,100,7.07,RU,1698614098
322,dobryanka,58.4619,56.4165,26.28,90,100,11.59,RU,1698614098
323,citrus springs,28.9975,-82.4707,86.0,48,0,8.05,US,1698614098
324,prince george,53.9166,-122.753,36.84,54,0,8.05,CA,1698614099
325,kimberley,-28.7323,24.7623,52.59,35,2,18.97,ZA,1698614099
326,tobol'sk,58.2,68.2667,24.6,70,100,8.01,RU,1698614099
327,springbok,-29.6643,17.8865,60.26,11,0,14.27,ZA,1698614099
328,namibe,-15.1961,12.1522,68.4,84,16,2.08,AO,1698614099
329,murghob,38.1702,73.9667,30.29,54,22,2.89,TJ,1698614099
330,carnarvon,-24.8667,113.6333,65.84,78,0,25.43,AU,1698614100
331,uturoa,-16.7333,-151.4333,79.05,79,15,14.0,PF,1698614100
332,new plymouth,-39.0667,174.0833,50.31,74,100,14.5,NZ,1698614100
333,usogorsk,63.4106,48.6872,25.66,83,100,6.02,RU,1698614085
334,ofunato,39.0717,141.7167,51.98,81,23,7.4,JP,1698614100
335,salekhard,66.53,66.6019,5.99,99,96,3.15,RU,1698614101
336,vandavasi,12.5,79.6167,75.72,90,63,5.39,IN,1698614101
337,prince rupert,54.3161,-130.3201,42.89,78,0,4.61,CA,1698614101
338,fort bragg,35.139,-79.006,83.82,49,0,11.5,US,1698614101
339,taulaga,-11.0553,-171.0883,83.44,73,32,10.76,AS,1698614102
340,tevriz,57.509,72.4042,20.3,89,100,7.18,RU,1698614103
341,changping,40.2186,116.2197,51.44,43,0,7.0,CN,1698614104
342,fuman,37.2273,49.3142,66.42,75,55,1.19,IR,1698614104
343,chibougamau,49.9168,-74.3659,29.82,64,100,4.61,CA,1698614105
344,gaigeturi,33.4644,126.3183,59.05,72,0,6.91,KR,1698614105
345,hotan,37.0997,79.9269,56.86,20,89,3.2,CN,1698614106
346,pueblo nuevo,23.3833,-105.3833,71.76,54,7,7.02,MX,1698614106
347,valparaiso,-33.0393,-71.6273,63.0,81,100,11.5,CL,1698614106
348,kotido,2.9806,34.1331,71.29,75,91,6.42,UG,1698614107
349,egilsstadir,65.2653,-14.3948,33.71,100,75,1.14,IS,1698614107
350,miracema do tocantins,-9.5618,-48.3967,98.1,21,74,5.35,BR,1698614107
351,conceicao da barra,-18.5933,-39.7322,76.57,76,4,13.67,BR,1698613893
352,nurota,40.5614,65.6886,65.55,40,11,6.78,UZ,1698614108
353,farah,32.5,62.5,67.26,34,0,2.48,AF,1698614108
354,atar,20.5169,-13.0499,85.14,12,0,2.71,MR,1698614109
355,canutama,-6.5339,-64.3831,96.4,30,93,2.84,BR,1698614109
356,bulolo,-7.2,146.65,72.12,96,100,0.16,PG,1698614109
357,moyale,3.5167,39.0584,68.86,85,97,2.28,KE,1698614109
358,kendari,-3.945,122.4989,72.9,90,72,1.3,ID,1698614110
359,cill airne,52.05,-9.5167,47.21,91,91,3.24,IE,1698614110
360,kabalo,-6.05,26.9167,70.99,90,75,2.93,CD,1698614110
361,banjar,-8.19,114.9675,75.74,85,11,4.99,ID,1698614111
362,haiku-pauwela,20.9219,-156.3051,82.42,63,20,20.71,US,1698614111
363,boa vista,2.8197,-60.6733,94.98,36,40,12.66,BR,1698614111
364,kui buri,12.0828,99.8543,78.28,84,100,3.94,TH,1698614112
